                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66324,                  1.762,                0.89994,                 1.2481,                0.99011,                      1,                  0.995,                0.81568,                0.99011,                      1,                  0.995,                0.69379,                0.74974,                 2.6177,                0.63998,                 1.2542,                  8e-05,                  8e-05,                  8e-05
                      2,                0.63874,                 1.3364,                 0.7687,                  1.287,                0.99862,                      1,                  0.995,                0.84086,                0.99862,                      1,                  0.995,                0.88793,                0.63886,                0.83012,                 0.6899,                 1.1881,             0.00017644,             0.00017644,             0.00017644
                      3,                0.53706,                0.74991,                0.62675,                 1.1135,                      1,                0.99927,                  0.995,                0.74071,                      1,                0.99927,                  0.995,                0.85682,                0.85469,                 1.0195,                0.80094,                 1.4401,             0.00026891,             0.00026891,             0.00026891
                      4,                0.42448,                0.70975,                0.49195,                  1.034,                      1,                0.98981,                  0.995,                0.92907,                      1,                0.98981,                  0.995,                0.92513,                0.48824,                0.78397,                0.60476,                0.98349,             0.00035743,             0.00035743,             0.00035743
                      5,                0.43153,                0.55635,                0.46897,                  1.014,                      1,                0.99816,                  0.995,                0.94508,                      1,                0.99816,                  0.995,                0.93952,                0.37452,                0.57335,                0.49027,                0.91049,             0.00044198,             0.00044198,             0.00044198
                      6,                0.41656,                0.43172,                0.43509,                 1.0444,                0.99206,                      1,                  0.995,                 0.9327,                0.99206,                      1,                  0.995,                0.97904,                 0.3624,                0.39848,                0.45941,                0.88195,             0.00052258,             0.00052258,             0.00052258
                      7,                0.34607,                0.42163,                0.41777,                 0.9838,                0.98896,                      1,                  0.995,                0.89664,                0.98896,                      1,                  0.995,                0.97904,                0.45081,                0.30477,                0.50652,                0.93879,             0.00059922,             0.00059922,             0.00059922
                      8,                0.37964,                0.54501,                0.42135,                 1.0217,                0.98627,                      1,                  0.995,                0.85094,                0.98627,                      1,                  0.995,                0.95106,                0.54751,                0.35534,                0.56603,                  1.033,             0.00067189,             0.00067189,             0.00067189
                      9,                0.44775,                0.55264,                0.43094,                 1.0289,                0.98872,                      1,                  0.995,                0.90475,                0.98872,                      1,                  0.995,                0.90475,                0.57132,                0.50198,                0.84217,                 1.0602,             0.00074061,             0.00074061,             0.00074061
                     10,                0.37118,                0.40877,                0.42439,                 1.0182,                      1,                0.82545,                  0.931,                0.86618,                      1,                0.82545,                  0.931,                0.89488,                0.67756,                0.36581,                 1.0545,                 1.0691,             0.00080536,             0.00080536,             0.00080536
                     11,                 0.4335,                0.52772,                0.47946,                 1.0054,                0.96271,                0.66667,                0.80997,                0.43901,                0.96271,                0.66667,                0.80997,                0.42244,                 1.2111,                 1.6506,                 1.7279,                 1.7649,             0.00086616,             0.00086616,             0.00086616
                     12,                0.44388,                0.58766,                0.50276,                 1.0305,                0.99112,                0.83333,                0.90357,                0.73145,                0.99112,                0.83333,                0.94167,                0.71132,                0.66434,                 1.1471,                 1.1105,                 1.1836,               0.000923,               0.000923,               0.000923
                     13,                0.45245,                0.46122,                0.48791,                 1.0603,                 0.9968,                0.83333,                  0.955,                0.92012,                 0.9968,                0.83333,                  0.955,                0.89974,                0.38944,                0.34745,                0.88737,                0.87368,             0.00097587,             0.00097587,             0.00097587
                     14,                0.43945,                 0.4846,                0.44758,                 1.0337,                      1,                0.98196,                  0.995,                 0.9015,                      1,                0.98196,                  0.995,                0.94538,                0.60588,                0.29635,                 0.7839,                 1.1107,              0.0010248,              0.0010248,              0.0010248
                     15,                0.46664,                0.53652,                0.47872,                 1.0506,                0.97926,                      1,                  0.995,                0.96512,                0.97926,                      1,                  0.995,                  0.995,                0.47689,                0.30155,                0.79592,                0.93383,              0.0010697,              0.0010697,              0.0010697
                     16,                0.47674,                0.42877,                0.46355,                 1.0509,                0.98407,                      1,                  0.995,                  0.995,                0.98407,                      1,                  0.995,                  0.995,                0.36379,                0.28269,                0.70791,                0.83324,              0.0011107,              0.0011107,              0.0011107
                     17,                0.40281,                0.34802,                0.40987,                 0.9941,                0.98103,                      1,                  0.995,                  0.995,                0.98103,                      1,                  0.995,                  0.995,                 0.3136,                0.26455,                0.68352,                0.78218,              0.0011478,              0.0011478,              0.0011478
                     18,                0.38364,                0.39395,                0.39921,                  1.005,                      1,                0.98465,                  0.995,                0.95174,                      1,                0.98465,                  0.995,                  0.995,                0.32093,                0.26927,                0.61146,                0.78495,              0.0011809,              0.0011809,              0.0011809
                     19,                0.39398,                0.37415,                0.41978,                0.98486,                0.99299,                      1,                  0.995,                0.93861,                0.99299,                      1,                  0.995,                 0.9762,                0.34072,                0.27576,                 0.6384,                0.78559,                0.00121,                0.00121,                0.00121
                     20,                0.36229,                0.41722,                0.40708,                 1.0011,                      1,                0.99576,                  0.995,                0.74858,                      1,                0.99576,                  0.995,                0.80758,                0.75061,                0.30393,                0.93535,                 1.0134,              0.0012351,              0.0012351,              0.0012351
                     21,                0.39682,                0.40815,                0.41406,                  1.017,                0.94618,                      1,                  0.995,                0.89619,                0.94618,                      1,                  0.995,                0.96308,                0.55642,                0.28115,                0.81534,                0.91544,               0.001208,               0.001208,               0.001208
                     22,                0.40987,                0.45094,                0.44044,                 1.0087,                0.97571,                      1,                  0.995,                0.87311,                0.97571,                      1,                  0.995,                0.93863,                0.55518,                0.25943,                0.56588,                0.92191,               0.001208,               0.001208,               0.001208
                     23,                0.39309,                0.38547,                0.39694,                 1.0239,                0.99202,                      1,                  0.995,                0.90697,                0.99202,                      1,                  0.995,                0.97905,                0.51745,                0.23939,                0.48971,                0.91105,              0.0011684,              0.0011684,              0.0011684
                     24,                0.38309,                0.41013,                0.40571,                 1.0177,                0.98951,                      1,                  0.995,                0.83798,                0.98951,                      1,                  0.995,                0.97623,                 0.5926,                0.25076,                0.64756,                 1.1501,              0.0011288,              0.0011288,              0.0011288
                     25,                0.46352,                0.43892,                0.44543,                  1.023,                0.99036,                      1,                  0.995,                0.89798,                0.99036,                      1,                  0.995,                0.89798,                0.48536,                0.28485,                0.62781,                0.95553,              0.0010892,              0.0010892,              0.0010892
                     26,                0.41511,                0.47149,                0.42552,                 1.0119,                0.99055,                      1,                  0.995,                  0.897,                0.99055,                      1,                  0.995,                0.92227,                0.38011,                 0.3358,                0.50936,                0.85113,              0.0010496,              0.0010496,              0.0010496
                     27,                0.43871,                0.44706,                0.44939,                 1.0173,                0.99002,                      1,                  0.995,                0.86012,                0.99002,                      1,                  0.995,                  0.995,                0.45326,                 0.3367,                0.58191,                0.87441,                0.00101,                0.00101,                0.00101
                     28,                0.41388,                0.39903,                0.40321,                0.99742,                      1,                 0.9865,                  0.995,                0.86416,                      1,                 0.9865,                  0.995,                  0.995,                0.58348,                0.30182,                0.73798,                 1.0708,              0.0009704,              0.0009704,              0.0009704
