                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.014,                 3.5005,                 1.5398,                0.77597,                0.30645,                0.62377,                0.34113,                0.90861,                 18.419,                 1.5543,             0.00065432,             0.00065432,             0.00065432
                      2,                 1.1838,                 1.9296,                 1.6534,                0.47671,                0.59677,                   0.46,                0.19283,                 1.6621,                  24.34,                 2.3809,              0.0012948,              0.0012948,              0.0012948
                      3,                 1.1942,                 1.8858,                 1.6667,                0.18001,                0.33871,                0.12535,                 0.0373,                 1.5637,                 24.883,                 2.3363,              0.0019089,              0.0019089,              0.0019089
                      4,                 1.2416,                 1.7566,                 1.7096,                 0.5042,                0.56452,                0.52556,                0.18252,                 1.2375,                 26.407,                 1.8984,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2841,                 1.7838,                 1.7304,                 0.5492,                0.66129,                0.63095,                0.28574,                 1.1155,                 7.1991,                 1.6863,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2031,                  1.623,                 1.6773,                 0.8447,                0.78956,                0.84736,                0.40811,                 1.2819,                 5.5999,                 1.9865,               0.001802,               0.001802,               0.001802
                      7,                 1.2183,                 1.5144,                 1.6863,                0.28602,                0.72581,                0.30092,                 0.1293,                 1.3854,                 4.9985,                 1.9564,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2344,                 1.4632,                 1.7066,                0.78131,                0.77419,                0.82294,                0.45152,                 1.1722,                 3.9114,                 1.7666,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1147,                 1.3126,                 1.5972,                0.86147,                0.80245,                0.87498,                0.56635,                0.91025,                 2.0584,                 1.4544,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1135,                 1.3133,                 1.6068,                0.75536,                0.85484,                0.82007,                0.39053,                 1.5486,                 3.2274,                 2.1918,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1392,                 1.3573,                 1.6125,                0.87572,                0.83871,                0.90127,                0.49018,                 1.4025,                 4.2335,                 1.9893,               0.001604,               0.001604,               0.001604
                     12,                 1.1087,                 1.2855,                 1.5755,                 0.7828,                0.87199,                0.86952,                0.44348,                  1.547,                 1.7329,                  1.966,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0308,                 1.1709,                 1.5411,                0.77187,                 0.8732,                0.86384,                0.54906,                 1.0476,                 2.0503,                 1.5582,              0.0015248,              0.0015248,              0.0015248
                     14,                  1.021,                  1.133,                 1.5138,                0.91903,                0.91534,                0.95643,                0.60028,                0.99261,                 1.6052,                 1.5238,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0042,                  1.116,                 1.4918,                0.89849,                0.87097,                0.92304,                0.59784,                 1.0763,                 1.8915,                 1.5446,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.026,                 1.0679,                  1.484,                0.97729,                0.85484,                0.94643,                0.61475,                  1.034,                 2.4461,                 1.5488,               0.001406,               0.001406,               0.001406
                     17,                  1.034,                  1.081,                 1.5182,                0.90602,                0.90323,                0.96407,                0.60014,                 1.0266,                 1.1702,                 1.3793,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.036,                 1.0804,                 1.5219,                0.84709,                0.91935,                0.91853,                0.61687,                0.91744,                 1.0929,                 1.3677,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0269,                 1.0855,                 1.5154,                 0.9159,                0.90323,                0.95702,                0.62468,                 0.9117,                0.97853,                 1.4605,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0101,                 1.0524,                 1.5366,                0.90934,                0.95161,                 0.9742,                 0.6507,                 1.1097,                 1.1632,                 1.5841,              0.0012476,              0.0012476,              0.0012476
                     21,                0.99977,                0.98013,                 1.4924,                 0.9076,                0.95161,                 0.9699,                0.65884,                0.97802,                 1.3082,                 1.4986,               0.001208,               0.001208,               0.001208
                     22,                0.95552,                 1.0133,                 1.4486,                0.87173,                0.87698,                 0.9561,                0.67693,                 1.0489,                0.95209,                 1.4604,              0.0011684,              0.0011684,              0.0011684
                     23,                0.91343,                0.95988,                 1.4466,                0.86998,                0.86343,                0.92439,                0.60563,                 1.1372,                0.94675,                  1.494,              0.0011288,              0.0011288,              0.0011288
                     24,                0.92382,                0.97211,                 1.4556,                0.87307,                0.85484,                0.90142,                0.65203,                0.81359,                0.89629,                 1.2674,              0.0010892,              0.0010892,              0.0010892
