                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98232,                 3.1383,                 2.1186,                  1.418,                0.63735,                0.30571,                0.55722,                0.28389,                 0.4833,                0.21739,                0.24407,                0.08564,                 1.2863,                 4.3506,                 3.2579,                 2.3392,                0.00064,                0.00064,                0.00064
                      2,                 1.0956,                 2.6234,                 1.6976,                 1.4959,                0.51755,                0.67391,                0.51362,                0.19382,                0.19052,                0.17391,                0.08977,                0.02013,                 1.7545,                 6.3397,                 3.3508,                 3.9197,              0.0012743,              0.0012743,              0.0012743
                      3,                 1.1792,                 2.6066,                 1.6513,                 1.5502,                 0.1817,                0.54348,                 0.1779,                0.05768,                0.07992,                0.34783,                0.04701,                0.01162,                 2.3405,                 12.959,                 4.3234,                 4.9909,              0.0018824,              0.0018824,              0.0018824
                      4,                 1.1929,                 2.6761,                 1.5079,                 1.5629,                0.54469,                0.56522,                0.58105,                0.22874,                0.42718,                0.41304,                0.26291,                0.09228,                  1.895,                 6.8609,                 2.1235,                 3.2671,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1574,                 2.4522,                 1.3626,                 1.5049,                0.34534,                0.56522,                0.34351,                0.13553,                0.33397,                0.26087,                0.19461,                0.06372,                 2.0182,                 7.5049,                 2.4252,                 3.3772,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1493,                 2.4909,                 1.3381,                 1.5138,                0.38973,                0.36957,                0.30093,                0.11801,                0.11318,                 0.1087,                0.02316,                0.00533,                 1.9746,                 5.9579,                  2.411,                 3.0513,               0.001802,               0.001802,               0.001802
                      7,                 1.0845,                 2.3841,                  1.249,                 1.4603,                0.70991,                0.65217,                0.67956,                0.29743,                0.66185,                0.26087,                0.32495,                0.08861,                 1.9636,                 8.6469,                 1.7996,                 3.4964,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0682,                 2.2703,                  1.158,                 1.4358,                0.77535,                0.75044,                0.80661,                 0.3772,                0.74394,                0.56522,                0.56371,                 0.2429,                 1.7225,                 4.1166,                 1.4734,                  2.528,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0145,                 2.1675,                  1.109,                   1.41,                0.58782,                0.73913,                0.70298,                0.38126,                0.68613,                0.52174,                0.48468,                0.21809,                 1.4254,                 2.8704,                 1.6517,                  2.221,              0.0016832,              0.0016832,              0.0016832
                     10,                0.98051,                  2.122,                  1.052,                 1.3764,                0.74129,                0.69565,                0.75956,                0.39601,                0.68165,                0.37249,                0.43776,                0.19474,                 1.6991,                 4.8884,                 1.6462,                 2.7681,              0.0016436,              0.0016436,              0.0016436
                     11,                0.98292,                 2.1349,                 1.0189,                 1.3965,                0.54366,                0.69565,                0.58233,                0.31118,                0.41479,                0.28261,                0.22798,                0.10862,                 1.7191,                 6.2826,                 1.9836,                 2.6811,               0.001604,               0.001604,               0.001604
                     12,                0.99294,                 2.1084,                0.99095,                 1.3598,                0.65958,                0.76087,                0.74466,                0.37573,                0.40021,                0.34783,                0.28595,                  0.125,                 1.5602,                 5.5547,                 1.4123,                 2.4016,              0.0015644,              0.0015644,              0.0015644
                     13,                0.93737,                 1.9316,                0.95292,                 1.3444,                0.53468,                0.58696,                0.60639,                0.35551,                0.58675,                0.30435,                0.32688,                0.14106,                 1.6812,                 4.9627,                 1.6972,                 2.2433,              0.0015248,              0.0015248,              0.0015248
