                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91698,                  2.154,                 1.5279,                0.64155,                0.68842,                0.70358,                0.30254,                 1.6018,                 3.1897,                 2.4114,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.1104,                 1.7903,                  1.617,                0.56798,                0.56923,                0.51507,                0.19782,                 1.7575,                 3.2965,                 2.3866,              0.0013007,              0.0013007,              0.0013007
                      3,                 1.1323,                  1.639,                 1.6608,                 0.6233,                0.63077,                0.64299,                0.24996,                 1.9456,                 4.1186,                 3.2339,              0.0019412,              0.0019412,              0.0019412
                      4,                 1.1534,                 1.5722,                 1.6908,                0.24297,                0.23077,                0.11057,                0.02236,                 3.1637,                 4.8884,                 3.6744,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2133,                 1.5932,                 1.7592,                0.34763,                0.66154,                0.35352,                0.09225,                 2.1973,                   3.42,                 3.4825,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1711,                 1.5452,                 1.7092,                0.62956,                0.70769,                0.67599,                0.33337,                 1.5748,                 2.3151,                 2.4247,               0.001901,               0.001901,               0.001901
                      7,                 1.1947,                 1.4556,                 1.7092,                 0.7625,                0.67692,                0.77431,                0.46083,                 1.3607,                 2.0833,                 2.2876,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1742,                 1.4766,                  1.707,                0.73994,                0.78794,                0.80423,                0.39404,                 1.3947,                 2.4918,                 2.6482,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1544,                 1.3471,                 1.6676,                0.75261,                0.83077,                0.80267,                0.41452,                 1.4102,                 1.8541,                 2.2891,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.116,                 1.3938,                 1.7025,                0.89959,                0.84615,                0.89662,                0.49916,                 1.4057,                 1.4879,                  2.453,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0526,                 1.2254,                 1.5873,                0.71198,                0.83674,                 0.8309,                0.39114,                 1.5837,                 1.7985,                  2.552,               0.001802,               0.001802,               0.001802
                     12,                 1.1347,                 1.3043,                 1.6892,                0.91127,                0.79005,                0.90226,                0.57561,                 1.1649,                 1.1486,                 2.0809,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0683,                 1.1912,                  1.611,                0.84875,                0.87692,                0.87127,                0.53342,                 1.2581,                 1.2639,                  2.001,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0561,                 1.2255,                 1.6007,                0.76886,                0.67692,                0.77293,                0.37915,                 1.5856,                 1.7202,                 2.1763,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0325,                 1.1497,                 1.5749,                0.91453,                0.82318,                0.87598,                0.51072,                 1.5571,                 1.1476,                 2.4547,              0.0017228,              0.0017228,              0.0017228
                     16,                0.98956,                 1.1418,                 1.5685,                0.91545,                0.87692,                0.92523,                0.55664,                 1.3582,                 1.1359,                 2.1427,               0.001703,               0.001703,               0.001703
                     17,                 1.0406,                 1.0847,                 1.5921,                0.87694,                0.86154,                0.90113,                0.61636,                 1.0621,                  1.044,                 1.8678,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0098,                 1.0713,                 1.5813,                0.90647,                0.90769,                0.91114,                0.60367,                 1.0483,                0.95544,                   1.87,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0445,                 1.0759,                 1.6169,                0.82051,                0.92308,                0.88323,                0.59626,                 1.0952,                 1.0337,                  1.864,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0117,                 1.0837,                 1.5641,                0.87615,                0.86154,                0.84856,                0.51717,                 1.2134,                 1.2531,                 2.1972,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0121,                 1.0618,                 1.5488,                0.89215,                0.90769,                0.92074,                  0.585,                 1.0206,                  1.004,                 1.7532,               0.001604,               0.001604,               0.001604
                     22,                0.97609,                 1.0845,                 1.5382,                0.87774,                0.88369,                0.93799,                0.65685,                0.93821,                0.93883,                 1.6321,              0.0015842,              0.0015842,              0.0015842
                     23,                0.96413,                 1.0271,                  1.533,                0.96399,                0.93846,                0.96459,                0.59344,                 1.0735,                0.94266,                 1.8466,              0.0015644,              0.0015644,              0.0015644
                     24,                0.98505,                 1.0339,                 1.5653,                0.94614,                0.89231,                0.95345,                0.64522,                 1.0771,                0.82121,                 1.8758,              0.0015446,              0.0015446,              0.0015446
                     25,                0.96255,                 1.0199,                  1.518,                 0.8775,                0.76923,                 0.8632,                0.60183,                 1.1178,                0.99979,                 1.7851,              0.0015248,              0.0015248,              0.0015248
                     26,                0.89415,                0.95507,                 1.4621,                0.91458,                0.90769,                0.93993,                  0.682,                   1.18,                0.83817,                 1.8558,               0.001505,               0.001505,               0.001505
                     27,                0.92128,                0.92638,                 1.4879,                 0.8891,                0.90769,                0.93592,                0.68855,                 1.0144,                0.83321,                 1.7795,              0.0014852,              0.0014852,              0.0014852
                     28,                0.91767,                0.96019,                 1.4894,                 0.8901,                0.74768,                0.85964,                0.61274,                 1.0684,                 1.1199,                 1.7681,              0.0014654,              0.0014654,              0.0014654
