                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0199,                 2.9956,                  1.991,                 1.4352,                0.49441,                0.61658,                0.56271,                0.24243,                 0.3512,                0.43478,                0.32628,                0.10982,                 1.4242,                 4.8936,                 3.3234,                 2.6079,             0.00065333,             0.00065333,             0.00065333
                      2,                 1.1036,                 2.5565,                  1.597,                   1.48,                0.46788,                0.63043,                0.52442,                  0.174,                 0.1053,                0.15217,                0.03189,                0.01167,                 2.0521,                  8.268,                 3.7983,                 3.5646,              0.0013069,              0.0013069,              0.0013069
                      3,                 1.1534,                  2.555,                 1.4985,                 1.5227,                0.37302,                0.30435,                0.24333,                0.08261,                0.44078,                0.19565,                0.16363,                0.07164,                 2.6991,                 4.7499,                 2.5694,                 3.6445,              0.0019473,              0.0019473,              0.0019473
                      4,                 1.1797,                 2.5488,                 1.3878,                 1.5261,                0.45126,                0.32609,                0.31702,                0.11175,                0.49893,                0.13043,                  0.103,                0.03082,                 1.9814,                 7.5645,                 2.7096,                 3.4714,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1343,                 2.5525,                 1.3374,                 1.4992,                0.74137,                0.68561,                0.75797,                0.32862,                0.34353,                0.32609,                0.24722,                0.10947,                 1.8855,                 4.6993,                 1.6846,                 2.9632,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1134,                 2.4002,                  1.237,                  1.486,                0.82236,                0.80435,                0.88279,                0.42694,                0.66092,                0.52174,                0.49492,                0.22196,                 1.5042,                 2.5382,                 1.2957,                  2.439,               0.001901,               0.001901,               0.001901
                      7,                 1.1277,                 2.4197,                   1.21,                 1.4951,                0.62879,                0.73653,                0.78221,                0.43675,                 0.7918,                0.36957,                0.42348,                0.21199,                  1.409,                 3.1999,                 1.4849,                 2.0956,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0484,                 2.1842,                 1.0655,                 1.4337,                0.77461,                0.58696,                0.73396,                0.38747,                0.53815,                    0.5,                 0.4687,                 0.1992,                 1.7915,                 3.7174,                 1.5113,                  2.611,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0099,                 2.1713,                 1.0372,                 1.4028,                0.67437,                0.69565,                0.74334,                0.44914,                0.56728,                 0.5986,                0.57257,                0.28959,                 1.4505,                 2.4792,                 1.3236,                 2.2453,              0.0018416,              0.0018416,              0.0018416
                     10,                0.99393,                 2.1161,                 1.0224,                 1.3987,                0.71203,                0.69882,                0.80246,                0.45017,                0.62076,                 0.6087,                0.58652,                0.29886,                 1.4051,                 3.2097,                 1.2976,                 2.2827,              0.0018218,              0.0018218,              0.0018218
                     11,                 0.9681,                  2.059,                0.99043,                 1.3772,                0.68093,                0.58696,                0.61412,                0.34229,                0.47874,                0.41304,                0.32281,                0.13862,                 1.7415,                 5.1155,                 1.7157,                 2.8845,               0.001802,               0.001802,               0.001802
                     12,                0.98138,                 2.0845,                 1.0046,                 1.3843,                0.83339,                0.76117,                0.88816,                0.41113,                0.77198,                0.41304,                0.44616,                0.21413,                 1.6733,                 3.3287,                 1.4578,                 2.4577,              0.0017822,              0.0017822,              0.0017822
                     13,                0.94081,                 1.9724,                0.91408,                  1.353,                0.73121,                0.73913,                0.74363,                0.38639,                0.51848,                0.44489,                0.35416,                0.16139,                 1.6713,                 5.6828,                  1.488,                 2.5785,              0.0017624,              0.0017624,              0.0017624
                     14,                 0.9364,                 1.8826,                0.92327,                 1.3388,                0.67329,                0.76087,                0.76334,                0.44508,                0.60552,                0.67391,                0.59342,                0.23623,                 1.6114,                 3.3478,                 1.4559,                 2.4522,              0.0017426,              0.0017426,              0.0017426
                     15,                0.91375,                 1.9019,                0.90423,                 1.3313,                0.79546,                0.93005,                0.90491,                0.51873,                  0.713,                0.78261,                0.72883,                0.40305,                 1.2448,                 2.8278,                 1.2246,                 1.9981,              0.0017228,              0.0017228,              0.0017228
                     16,                0.90705,                 1.9295,                0.88982,                 1.3262,                0.83708,                0.78186,                0.84832,                0.45026,                0.67157,                0.62246,                0.61961,                0.35371,                 1.4072,                 2.8256,                 1.3531,                 2.1347,               0.001703,               0.001703,               0.001703
                     17,                0.89622,                 1.8067,                0.87517,                 1.3001,                0.89355,                0.71739,                0.88025,                0.50196,                0.79622,                0.63043,                0.65035,                0.32624,                 1.3185,                 2.6875,                 1.2517,                 2.0588,              0.0016832,              0.0016832,              0.0016832
                     18,                0.89991,                 1.7857,                0.86621,                 1.3073,                 0.7785,                0.69565,                0.78782,                0.46746,                0.71028,                0.58696,                0.60137,                0.33832,                 1.5194,                 3.2581,                 1.3524,                 2.3379,              0.0016634,              0.0016634,              0.0016634
                     19,                0.86592,                   1.75,                0.83699,                 1.3031,                0.83214,                0.78261,                0.87942,                0.50929,                0.75921,                0.63043,                0.64207,                0.36453,                 1.5281,                 3.0168,                 1.1606,                 2.2871,              0.0016436,              0.0016436,              0.0016436
