                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0891,                 3.0181,                 1.8185,                0.00323,                0.98462,                0.81287,                0.42028,                0.89778,                 3.3713,                  1.898,                0.00032,                0.00032,                0.00032
                      2,                 0.9299,                 2.1692,                 1.7851,                0.97765,                0.67308,                0.90783,                0.49555,                0.94482,                 3.2936,                 1.8347,             0.00064693,             0.00064693,             0.00064693
                      3,                 1.0229,                 2.0246,                 1.8697,                0.42712,                0.53846,                0.46784,                0.14068,                 1.7766,                 3.6573,                  2.998,              0.0009604,              0.0009604,              0.0009604
                      4,                0.98953,                 1.8802,                   1.84,                0.26933,                0.53846,                0.28353,                0.12546,                 1.4624,                 4.0077,                 2.4824,              0.0012604,              0.0012604,              0.0012604
                      5,                 1.1025,                 1.7859,                 1.9312,                0.35055,                0.47692,                0.27557,                0.12525,                 1.5687,                 3.1986,                 2.4849,              0.0015469,              0.0015469,              0.0015469
                      6,                 1.0508,                 1.6914,                 1.8827,                0.79843,                0.76923,                0.78066,                0.35562,                 2.0017,                 2.3822,                 3.5693,               0.001802,               0.001802,               0.001802
                      7,                0.99489,                 1.5349,                 1.8259,                0.77962,                0.75385,                 0.8132,                0.46095,                 1.6886,                 3.1261,                 3.1012,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0055,                 1.4457,                 1.8032,                0.73101,                0.83077,                0.86066,                0.50586,                 1.2226,                  2.107,                 2.8303,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0293,                 1.4477,                 1.8054,                0.42858,                0.58462,                0.45417,                0.21241,                 1.6077,                 2.5955,                 2.4706,              0.0016832,              0.0016832,              0.0016832
                     10,                0.96782,                  1.248,                  1.764,                0.73457,                 0.7664,                0.79241,                0.51169,                 1.1946,                 1.5358,                 2.0866,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0172,                 1.2557,                 1.7897,                0.76348,                0.69528,                0.78098,                0.49145,                 1.3891,                 1.6801,                 2.2622,               0.001604,               0.001604,               0.001604
                     12,                0.99736,                 1.1582,                 1.7954,                0.92812,                0.52308,                0.66659,                0.35707,                 1.5665,                 1.3803,                 2.2164,              0.0015644,              0.0015644,              0.0015644
                     13,                 0.9307,                 1.1644,                 1.7033,                0.94644,                0.75385,                0.89493,                0.53633,                 1.4224,                 1.5491,                 2.2021,              0.0015248,              0.0015248,              0.0015248
                     14,                0.88301,                 1.0708,                 1.6727,                0.80984,                0.85181,                0.86809,                0.44872,                 1.3684,                 1.8062,                  2.348,              0.0014852,              0.0014852,              0.0014852
                     15,                0.89902,                  1.034,                 1.6628,                 0.9006,                0.89231,                0.90345,                0.51205,                 1.5118,                 1.1585,                 2.7313,              0.0014456,              0.0014456,              0.0014456
                     16,                0.88679,                0.98876,                 1.6979,                0.88031,                0.90524,                0.90918,                0.56488,                 1.1321,                0.89028,                 1.9866,               0.001406,               0.001406,               0.001406
                     17,                0.90066,                 0.9744,                 1.7273,                0.85366,                0.87692,                0.86466,                0.50924,                 1.1456,                 1.0494,                 2.1855,              0.0013664,              0.0013664,              0.0013664
                     18,                0.90607,                0.98001,                 1.7101,                0.82675,                  0.881,                0.90487,                0.59052,                0.97228,                 1.1859,                 1.6125,              0.0013268,              0.0013268,              0.0013268
                     19,                0.85863,                0.91835,                  1.647,                0.90217,                0.87692,                0.89313,                0.62379,                0.97853,                 0.9419,                 1.6661,              0.0012872,              0.0012872,              0.0012872
                     20,                0.91165,                0.88476,                  1.671,                0.77419,                0.79123,                0.81236,                0.54945,                 1.1612,                 1.3311,                 1.7682,              0.0012476,              0.0012476,              0.0012476
                     21,                0.86635,                0.88483,                 1.6387,                0.90367,                0.86601,                0.94792,                0.64074,                0.95889,                 1.0086,                  1.654,               0.001208,               0.001208,               0.001208
                     22,                0.80162,                0.87682,                 1.5643,                0.86833,                0.91313,                0.93747,                0.64357,                0.91762,                0.98474,                 1.6545,              0.0011684,              0.0011684,              0.0011684
                     23,                0.77351,                0.79856,                 1.5831,                0.93711,                0.89231,                0.94302,                0.61524,                  1.017,                0.87092,                 1.6935,              0.0011288,              0.0011288,              0.0011288
                     24,                0.78384,                0.82792,                 1.5191,                 0.9356,                0.89408,                0.91682,                0.66521,                0.90048,                0.81788,                 1.5699,              0.0010892,              0.0010892,              0.0010892
                     25,                0.75845,                0.81847,                 1.5693,                0.90251,                0.85457,                0.92525,                0.66253,                0.86258,                0.88928,                 1.5155,              0.0010496,              0.0010496,              0.0010496
                     26,                 0.7622,                0.80099,                 1.5411,                0.93715,                0.91762,                0.95314,                0.67785,                0.97409,                0.83957,                 1.6914,                0.00101,                0.00101,                0.00101
                     27,                 0.7171,                0.71784,                 1.5313,                 0.9501,                0.87889,                0.94185,                0.66705,                0.94631,                0.87026,                  1.724,              0.0009704,              0.0009704,              0.0009704
                     28,                  0.751,                 0.7376,                 1.5204,                0.89223,                 0.7643,                0.88887,                0.61323,                0.91438,                 1.0165,                 1.6155,              0.0009308,              0.0009308,              0.0009308
                     29,                0.66354,                0.69912,                 1.4539,                 0.9493,                0.86423,                0.92669,                0.69834,                 0.8539,                 0.7237,                 1.5115,              0.0008912,              0.0008912,              0.0008912
                     30,                0.70001,                0.66496,                 1.4739,                0.89094,                0.87978,                0.90985,                0.66837,                0.88966,                0.72702,                 1.4722,              0.0008516,              0.0008516,              0.0008516
                     31,                0.64543,                0.67174,                 1.4319,                0.94878,                0.89231,                0.93054,                0.68769,                0.93373,                0.68108,                 1.4966,               0.000812,               0.000812,               0.000812
                     32,                0.64146,                0.66197,                 1.4206,                0.95902,                0.83077,                0.92282,                0.63726,                0.87837,                0.90319,                 1.4386,              0.0007724,              0.0007724,              0.0007724
                     33,                 0.6184,                0.66383,                 1.3741,                0.92723,                0.87692,                0.91035,                 0.6787,                0.81582,                0.94484,                 1.4518,              0.0007328,              0.0007328,              0.0007328
                     34,                0.61099,                0.65546,                 1.3628,                0.96178,                0.92308,                0.94886,                0.71349,                0.77428,                0.76582,                 1.4139,              0.0006932,              0.0006932,              0.0006932
                     35,                 0.6072,                0.63261,                 1.3695,                0.91726,                0.90769,                0.94156,                 0.7175,                0.83709,                0.80475,                 1.4734,              0.0006536,              0.0006536,              0.0006536
                     36,                0.57454,                0.60952,                 1.3783,                0.95243,                0.92415,                0.94358,                0.69643,                0.97231,                0.78343,                 1.6406,               0.000614,               0.000614,               0.000614
                     37,                0.55829,                0.57968,                 1.3426,                0.94858,                0.92308,                0.94509,                0.71498,                0.88471,                0.70269,                   1.52,              0.0005744,              0.0005744,              0.0005744
                     38,                0.54494,                0.56509,                 1.3241,                0.93828,                0.93552,                0.95737,                0.72067,                0.80804,                0.76029,                 1.4093,              0.0005348,              0.0005348,              0.0005348
                     39,                0.55918,                0.56646,                 1.3333,                0.92302,                0.92239,                  0.944,                0.67569,                0.99169,                0.75947,                 1.5546,              0.0004952,              0.0004952,              0.0004952
                     40,                0.54829,                0.54556,                 1.3268,                0.92282,                0.91982,                0.94996,                0.70937,                0.97193,                0.73526,                  1.499,              0.0004556,              0.0004556,              0.0004556
                     41,                0.57754,                0.54634,                 1.3306,                0.94866,                0.92308,                0.93791,                0.69177,                0.87593,                0.68904,                 1.4768,               0.000416,               0.000416,               0.000416
                     42,                 0.4815,                0.49451,                 1.2494,                0.93892,                0.94595,                0.95514,                0.70977,                 0.8145,                0.74484,                 1.3729,              0.0003764,              0.0003764,              0.0003764
                     43,                0.49824,                0.49165,                 1.2512,                0.96689,                0.89855,                0.95472,                0.71173,                0.80309,                0.71366,                 1.3731,              0.0003368,              0.0003368,              0.0003368
                     44,                0.51828,                0.51106,                 1.2835,                0.93591,                0.93846,                0.95763,                0.71956,                0.85982,                0.81433,                 1.4339,              0.0002972,              0.0002972,              0.0002972
