                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99221,                 2.1025,                 1.5565,                0.00622,                0.98462,                0.49339,                0.21112,                 1.2336,                 3.3791,                 2.1686,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.1048,                 1.7154,                 1.6354,                0.35832,                0.47692,                 0.3631,                0.14007,                 1.4249,                 3.4419,                 2.4046,              0.0013007,              0.0013007,              0.0013007
                      3,                 1.1439,                 1.6137,                 1.6684,                0.57732,                0.78462,                0.63067,                0.24121,                 1.6194,                 4.2911,                 3.1124,              0.0019412,              0.0019412,              0.0019412
                      4,                 1.0706,                 1.5588,                 1.6363,                0.10778,                0.35385,                0.09215,                0.01977,                 2.9232,                 8.0572,                 4.0614,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1737,                 1.5468,                 1.7106,                0.21072,                0.55385,                0.20623,                0.05806,                 2.4042,                 4.5366,                 3.6254,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1487,                 1.4454,                 1.7009,                0.25736,                0.55385,                0.24163,                 0.0986,                 2.0703,                 2.8154,                 2.8805,               0.001901,               0.001901,               0.001901
                      7,                  1.157,                 1.4744,                 1.6752,                 0.7002,                0.73846,                0.74637,                0.31504,                 1.9882,                 2.9522,                 2.9994,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1635,                 1.4377,                 1.6868,                0.61059,                0.69231,                0.64238,                0.24509,                 2.0593,                 2.2934,                 2.7761,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1246,                 1.3283,                 1.6504,                0.57441,                    0.8,                0.62567,                0.29206,                 1.3782,                 1.8309,                 2.3205,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1667,                 1.4183,                  1.717,                 0.7742,                    0.8,                0.80951,                0.32804,                 1.8544,                 1.7628,                 2.7499,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0655,                 1.2577,                 1.6069,                0.66099,                0.68995,                0.58372,                0.21222,                 1.9631,                 1.9227,                 2.5545,               0.001802,               0.001802,               0.001802
                     12,                 1.1041,                 1.3144,                 1.6663,                0.58641,                0.78527,                0.66587,                0.30571,                 1.5764,                 1.7229,                 2.2797,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0766,                 1.2542,                 1.5941,                 0.7771,                0.80458,                 0.8423,                0.48397,                  1.418,                 1.4272,                 2.3213,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0243,                 1.2219,                 1.6009,                0.81088,                0.79163,                0.85627,                0.49042,                 1.4586,                 1.4174,                 2.2506,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0333,                 1.1595,                 1.5894,                0.78704,                0.83077,                0.82464,                0.43819,                 1.3867,                 1.6475,                 2.1492,              0.0017228,              0.0017228,              0.0017228
                     16,                0.99275,                 1.1485,                 1.5835,                0.89975,                0.82852,                 0.8884,                0.53975,                 1.1593,                 1.1274,                 2.1545,               0.001703,               0.001703,               0.001703
                     17,                 1.0195,                 1.1166,                  1.585,                0.93116,                0.89231,                0.91588,                0.54249,                 1.2434,                 1.1423,                 2.2131,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.011,                 1.1222,                 1.5889,                0.88955,                0.92308,                0.85779,                0.41441,                 1.5204,                 1.1598,                 2.9228,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0565,                 1.1418,                    1.6,                0.89111,                0.89231,                0.89396,                0.57916,                 1.2365,                 1.1518,                 1.9246,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0057,                 1.1362,                 1.5462,                0.90028,                0.83344,                0.90695,                0.54644,                 1.5049,                 1.3222,                 2.1789,              0.0016238,              0.0016238,              0.0016238
                     21,                0.97213,                  1.076,                 1.5348,                0.91419,                0.81953,                0.90916,                0.47611,                 1.3692,                 1.6527,                 2.2694,               0.001604,               0.001604,               0.001604
                     22,                0.99263,                 1.0562,                 1.5431,                0.91638,                0.84303,                0.90243,                 0.5583,                 1.2335,                 1.2877,                  1.887,              0.0015842,              0.0015842,              0.0015842
                     23,                0.98364,                 1.0963,                 1.5363,                0.93494,                0.88435,                0.92599,                 0.5736,                 1.1373,                 1.1717,                 1.8508,              0.0015644,              0.0015644,              0.0015644
                     24,                0.97007,                  1.021,                 1.5453,                0.82337,                0.86059,                0.90415,                0.51106,                 1.2506,                 1.3747,                 1.9111,              0.0015446,              0.0015446,              0.0015446
                     25,                0.90245,                0.99181,                 1.4702,                 0.9209,                0.89563,                 0.9279,                0.57618,                 1.2576,                 1.1161,                 2.0411,              0.0015248,              0.0015248,              0.0015248
                     26,                0.87549,                0.96292,                 1.4403,                0.87222,                0.86154,                0.87463,                0.53252,                 1.2454,                 1.3127,                 2.0209,               0.001505,               0.001505,               0.001505
                     27,                0.93636,                0.98473,                 1.4861,                0.89794,                0.87692,                0.90237,                0.58889,                 1.0992,                 1.1688,                 1.8786,              0.0014852,              0.0014852,              0.0014852
