                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7483,                 3.5559,                 23.112,                 2.0768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                0.00052,                0.00052,                0.00052
                      2,                 3.0673,                 2.9148,                 3.0461,                 3.2043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001039,               0.001039,               0.001039
                      3,                 2.5013,                 2.5081,                  2.592,                 2.7927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0015366,              0.0015366,              0.0015366
                      4,                 2.3284,                 2.3526,                 2.4832,                 2.7008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.2905,                 2.3062,                 2.4593,                 2.6772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.2232,                  2.508,                 2.4175,                 2.5713,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      7,                 2.0704,                 1.9061,                  2.238,                 2.4572,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8721,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.0635,                  1.562,                 2.1904,                 2.3887,                0.00355,                0.33333,                0.00214,                0.00056,                0.00533,                    0.5,                0.00365,                0.00081,                 3.8726,                    nan,                    inf,                 71.547,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9753,                 1.4869,                 2.1953,                 2.3562,                0.01191,                0.08333,                 0.0215,                0.00456,                0.00959,                0.08333,                0.00408,                0.00093,                 3.4646,                 27.919,                 3.0833,                 4.0268,              0.0016832,              0.0016832,              0.0016832
                     10,                  1.873,                 1.4965,                 2.0744,                 2.2797,                0.27826,                0.16145,                0.15242,                0.03027,                0.45155,                0.08333,                0.10511,                0.03531,                 2.5459,                 4.7251,                 3.3584,                 3.4836,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.8298,                 1.4094,                 1.9869,                 2.2227,                0.12607,                   0.25,                0.05529,                0.01053,                0.14089,                0.33333,                0.08294,                0.02295,                 2.8853,                 2.1836,                 6.2508,                   3.95,               0.001604,               0.001604,               0.001604
                     12,                 1.7011,                  1.363,                 1.8982,                 2.0783,                0.13304,                0.33333,                0.20317,                0.07308,                 0.1663,                0.41667,                0.20336,                0.09088,                 1.9417,                 1.5952,                 3.0356,                 2.9237,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6638,                 1.4129,                 1.8313,                 2.0791,                0.00793,                0.08333,                0.00457,                0.00077,                0.00823,                   0.25,                 0.0047,                0.00087,                 3.6072,                 2.3935,                 8.6958,                 4.0763,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.6091,                 1.2785,                 1.7477,                 2.0175,                 0.5304,                0.41667,                0.37782,                0.11627,                 0.5304,                0.41667,                0.37782,                0.16472,                  1.893,                0.95721,                 2.8309,                 2.8936,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4999,                 1.2257,                 1.5574,                 1.9122,                0.19291,                0.33333,                 0.2197,                0.08313,                0.19291,                0.33333,                0.21766,                0.09651,                 2.0507,                 1.3161,                 3.1378,                 2.8037,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.4523,                 1.0362,                 1.3919,                 1.8787,                0.02234,                0.08333,                0.00944,                0.00337,                0.02854,                0.16667,                0.01829,                0.00581,                  3.247,                 1.0734,                 3.5737,                 3.8178,               0.001406,               0.001406,               0.001406
                     17,                 1.4608,                 1.0349,                 1.4009,                  1.882,                0.42419,                0.41667,                0.38018,                0.18456,                0.42419,                0.41667,                0.38018,                0.24442,                 1.2697,                0.72982,                 1.8694,                 2.2249,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.4212,                 1.0646,                 1.3191,                 1.8317,                0.33699,                      1,                0.38516,                0.11125,                0.38359,                      1,                0.38516,                0.15067,                 1.6085,                0.93477,                 2.1907,                 2.5744,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3828,                 1.1114,                 1.3048,                 1.8038,                0.27072,                0.52666,                0.27515,                0.10612,                0.28068,                0.66667,                0.30683,                0.12462,                 1.9136,                0.95676,                 2.3545,                 2.8667,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.318,                 1.0597,                 1.2363,                 1.7547,                0.45512,                0.90528,                0.64261,                 0.3445,                0.45512,                0.90528,                0.64261,                0.38577,                 1.2064,                0.74182,                 1.6344,                   2.13,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.3332,                 1.0094,                 1.1761,                 1.7641,                0.60193,                0.75645,                 0.8112,                0.40478,                0.60193,                0.75645,                 0.8112,                0.48691,                 1.2811,                0.74337,                 1.5508,                 2.3571,               0.001208,               0.001208,               0.001208
                     22,                 1.2041,                0.97197,                  1.103,                 1.6735,                0.90799,                0.82327,                 0.9042,                0.56098,                0.90799,                0.82327,                0.91299,                0.59254,                 1.3159,                  1.347,                 1.4479,                 2.3168,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1623,                 1.0101,                 1.0464,                 1.6327,                0.86607,                0.83333,                0.96669,                0.57814,                0.86607,                0.83333,                0.96669,                0.71565,                 1.2511,                0.58713,                 1.1075,                 2.2088,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1143,                 1.0113,                0.98013,                 1.5829,                0.52749,                0.91667,                0.79697,                0.50487,                0.52749,                0.91667,                0.79697,                0.54284,                 1.1307,                0.61303,                 1.3565,                 2.0842,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.0854,                0.93041,                0.97184,                 1.5591,                0.60706,                0.77352,                0.78095,                0.55424,                0.60706,                0.77352,                0.78095,                0.57792,                 1.0726,                0.67531,                 1.3409,                 2.0092,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0591,                0.89549,                0.94294,                 1.5566,                0.78407,                      1,                  0.893,                0.65444,                0.78407,                      1,                  0.893,                0.72303,                 1.0596,                0.50443,                 1.1266,                 1.9324,                0.00101,                0.00101,                0.00101
                     27,                 1.0935,                0.92812,                0.98094,                 1.5344,                0.83352,                0.83453,                0.90091,                0.59338,                0.83352,                0.83453,                0.90091,                0.63583,                 1.1961,                0.71684,                 1.0513,                 2.1535,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.0664,                0.91992,                0.94537,                 1.5151,                 0.7446,                0.97299,                0.91823,                0.69519,                 0.7446,                0.97299,                0.91823,                0.74788,                 1.0422,                 0.6611,                 1.0071,                 1.9633,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.0129,                0.88018,                 0.8913,                  1.507,                0.86946,                0.91667,                  0.975,                0.61824,                0.86946,                0.91667,                  0.975,                0.73423,                  1.086,                0.56939,                 1.2799,                 1.9902,              0.0008912,              0.0008912,              0.0008912
                     30,                0.96992,                0.87277,                 0.8773,                 1.4881,                0.92267,                 0.9947,                0.96346,                0.73195,                0.92267,                 0.9947,                0.96346,                 0.8211,                0.88298,                0.47539,                0.97007,                 1.7258,              0.0008516,              0.0008516,              0.0008516
                     31,                0.95775,                0.89037,                0.83986,                 1.4469,                0.72399,                      1,                0.93045,                0.72586,                0.72399,                      1,                0.93045,                0.79408,                0.89675,                  0.539,                0.86873,                 1.6774,               0.000812,               0.000812,               0.000812
                     32,                0.93376,                0.81124,                0.80001,                 1.4211,                0.85153,                0.95745,                0.98357,                0.70644,                0.85153,                0.95745,                0.98357,                 0.7753,                 1.1089,                0.68013,                0.92652,                 1.9365,              0.0007724,              0.0007724,              0.0007724
                     33,                0.95805,                0.85559,                0.85912,                  1.461,                0.83436,                0.83998,                0.95451,                0.66364,                0.83436,                0.83998,                0.95451,                0.73178,                  1.059,                0.50239,                0.89685,                 1.9318,              0.0007328,              0.0007328,              0.0007328
                     34,                0.93356,                0.83797,                0.81938,                 1.4119,                0.79515,                0.97171,                0.95851,                0.63275,                0.79515,                0.97171,                0.95851,                0.70726,                 1.2473,                0.49283,                0.95322,                 2.0806,              0.0006932,              0.0006932,              0.0006932
                     35,                0.86306,                0.79083,                 0.7835,                 1.3775,                0.85577,                      1,                0.96346,                0.74619,                0.85577,                      1,                0.96346,                0.84221,                0.91426,                0.41241,                0.95829,                  1.737,              0.0006536,              0.0006536,              0.0006536
