                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.014,                 3.5005,                 1.5398,                0.77597,                0.30645,                0.62377,                0.34113,                0.90861,                 18.419,                 1.5543,             0.00065432,             0.00065432,             0.00065432
                      2,                  1.178,                 1.9389,                 1.6535,                 0.4454,                 0.6129,                0.54946,                0.22535,                 1.4032,                 40.961,                 2.2893,              0.0013079,              0.0013079,              0.0013079
                      3,                 1.1999,                 1.9073,                 1.6754,                0.29693,                0.45161,                0.28612,                0.10935,                  1.474,                 38.618,                 2.1038,              0.0019483,              0.0019483,              0.0019483
                      4,                 1.2004,                 1.7586,                 1.6696,                0.61978,                0.77419,                0.68435,                0.34403,                 1.2831,                 20.733,                 2.1404,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2564,                 1.6901,                 1.6909,                0.69398,                0.73158,                0.77153,                0.41344,                 1.1453,                 11.191,                 1.7957,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.215,                 1.5821,                 1.6616,                0.65077,                0.75806,                 0.7584,                0.41226,                  1.208,                 7.3529,                 1.9043,               0.001901,               0.001901,               0.001901
                      7,                 1.2317,                 1.5136,                 1.6759,                0.73206,                0.79326,                0.82272,                0.39022,                  1.301,                 8.6012,                  1.918,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2385,                 1.5227,                  1.697,                0.60844,                0.60157,                0.62858,                0.34135,                 1.1664,                 4.2742,                 1.6765,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1288,                 1.3441,                 1.6104,                0.79513,                0.82258,                 0.8702,                0.52509,                 1.2007,                 5.0109,                 1.8023,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1459,                 1.2789,                 1.6187,                0.65867,                0.77419,                0.79456,                0.37318,                   1.53,                 2.4268,                 2.0647,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2127,                 1.3684,                 1.6689,                0.79529,                0.83871,                0.84611,                0.54844,                 1.0398,                  2.096,                 1.6658,               0.001802,               0.001802,               0.001802
                     12,                 1.2003,                 1.3333,                 1.6485,                0.92517,                0.82258,                0.91901,                0.48003,                 1.4272,                 1.8163,                    2.1,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0677,                 1.1758,                  1.557,                0.77892,                0.83871,                0.84978,                0.46687,                 1.2491,                 2.2236,                 1.8385,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0246,                 1.1484,                 1.5272,                0.93431,                0.87097,                 0.9543,                0.59684,                 1.1916,                 1.3715,                 1.8366,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0582,                 1.1043,                 1.5291,                0.92393,                0.87097,                0.94531,                 0.5157,                 1.1247,                 1.4453,                 1.6936,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1024,                 1.0865,                 1.5553,                 0.8807,                0.83356,                0.86018,                0.53457,                  1.173,                 1.2062,                 1.7552,               0.001703,               0.001703,               0.001703
                     17,                 1.0405,                 1.1384,                 1.5242,                0.88622,                0.87943,                 0.8893,                0.61428,                 1.0612,                 1.0702,                 1.5458,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0868,                 1.0803,                 1.5427,                0.83735,                0.93548,                0.94109,                0.60825,                 0.9163,                 0.9145,                 1.4352,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.086,                 1.0911,                  1.554,                0.80679,                0.85484,                0.85829,                0.46505,                 1.3303,                 1.4073,                 1.8997,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0178,                 1.0531,                 1.5261,                 0.9036,                0.90718,                0.95507,                0.63152,                  1.029,                 1.2996,                 1.5157,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0519,                 1.0197,                 1.5265,                0.91953,                0.93548,                0.94205,                0.62257,                0.88207,                0.86031,                 1.4237,               0.001604,               0.001604,               0.001604
                     22,                 1.0204,                 1.0356,                 1.4733,                0.88842,                0.90323,                0.93629,                0.57422,                 1.0152,                 1.8444,                 1.4578,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.9884,                 1.0041,                 1.4811,                0.90159,                0.82258,                0.92194,                0.63427,                0.94647,                0.87867,                 1.3683,              0.0015644,              0.0015644,              0.0015644
                     24,                0.98536,                 1.0532,                 1.4954,                0.86151,                0.87097,                0.92554,                0.65961,                0.79528,                 1.1103,                 1.2817,              0.0015446,              0.0015446,              0.0015446
                     25,                0.99509,                 1.0317,                 1.4802,                0.92745,                0.91935,                 0.9364,                0.65208,                0.97381,                 1.0502,                 1.4635,              0.0015248,              0.0015248,              0.0015248
                     26,                0.96151,                  1.034,                 1.4623,                0.88455,                 0.8871,                 0.9108,                0.60941,                0.85739,                 1.2452,                  1.309,               0.001505,               0.001505,               0.001505
                     27,                0.89835,                 1.0317,                 1.4407,                0.84736,                0.87097,                0.90081,                0.57362,                0.96343,                 1.2208,                 1.4536,              0.0014852,              0.0014852,              0.0014852
                     28,                0.96726,                 0.9429,                 1.4966,                0.93597,                0.94309,                0.98133,                0.65416,                 0.9959,                  0.845,                 1.5017,              0.0014654,              0.0014654,              0.0014654
                     29,                0.97007,                0.95705,                 1.4713,                0.91509,                 0.8871,                0.92212,                0.62239,                 1.0563,                 1.0007,                 1.5652,              0.0014456,              0.0014456,              0.0014456
                     30,                0.94997,                0.94565,                 1.4436,                0.80026,                0.90323,                0.91826,                0.62787,                0.96018,                0.91801,                 1.4498,              0.0014258,              0.0014258,              0.0014258
                     31,                0.94963,                0.89587,                 1.4505,                0.86962,                0.95161,                0.96794,                 0.6664,                0.82391,                 1.0836,                 1.3248,               0.001406,               0.001406,               0.001406
                     32,                0.92438,                0.91117,                  1.417,                0.91341,                0.85075,                 0.9273,                0.61979,                0.90883,                 0.7249,                  1.388,              0.0013862,              0.0013862,              0.0013862
                     33,                0.92167,                0.89377,                  1.425,                0.86755,                0.93548,                0.96114,                0.68599,                0.88604,                0.76859,                 1.3867,              0.0013664,              0.0013664,              0.0013664
                     34,                 0.9045,                0.88201,                  1.424,                0.83719,                0.87097,                0.88073,                0.63222,                0.85791,                0.84434,                 1.3198,              0.0013466,              0.0013466,              0.0013466
                     35,                0.89668,                0.88859,                 1.4243,                0.90171,                0.88779,                0.92523,                0.67497,                0.78908,                0.72784,                 1.2671,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88593,                0.85782,                 1.3852,                0.92656,                0.95161,                0.96541,                0.67573,                0.81257,                 0.7289,                 1.2388,               0.001307,               0.001307,               0.001307
                     37,                0.87607,                0.87187,                 1.3769,                0.89071,                0.93548,                0.95884,                0.67658,                0.79906,                0.70466,                 1.2684,              0.0012872,              0.0012872,              0.0012872
                     38,                0.89463,                0.87091,                 1.3957,                0.86985,                0.86242,                0.92412,                0.69125,                 0.8188,                0.81638,                 1.2796,              0.0012674,              0.0012674,              0.0012674
                     39,                0.86884,                0.86493,                 1.4148,                0.93065,                 0.8659,                0.94561,                0.71618,                0.78642,                0.68399,                 1.2645,              0.0012476,              0.0012476,              0.0012476
                     40,                0.87436,                0.80003,                 1.3849,                0.95224,                0.96472,                 0.9793,                0.73496,                0.72305,                0.62056,                 1.2166,              0.0012278,              0.0012278,              0.0012278
                     41,                  0.868,                0.82397,                 1.3945,                0.89874,                0.85895,                0.92313,                0.63861,                0.88035,                0.73939,                 1.3658,               0.001208,               0.001208,               0.001208
                     42,                 0.8382,                0.82435,                 1.3471,                0.89583,                 0.8871,                 0.9322,                0.66912,                0.83436,                0.82364,                 1.3135,              0.0011882,              0.0011882,              0.0011882
                     43,                0.90673,                0.81141,                  1.433,                0.91925,                0.91935,                0.94301,                 0.6819,                0.83369,                0.81549,                 1.3069,              0.0011684,              0.0011684,              0.0011684
                     44,                0.84293,                0.80784,                  1.391,                 0.9507,                0.93311,                0.97031,                0.70458,                0.75087,                0.68035,                 1.1852,              0.0011486,              0.0011486,              0.0011486
                     45,                0.84004,                0.79486,                 1.3647,                0.89035,                0.91681,                0.93082,                0.66389,                 1.0962,                0.95151,                  1.619,              0.0011288,              0.0011288,              0.0011288
                     46,                0.78417,                0.76451,                 1.3242,                0.90197,                0.90323,                0.93804,                0.68542,                 0.7985,                0.68596,                 1.2745,               0.001109,               0.001109,               0.001109
                     47,                0.81367,                0.78742,                 1.3918,                0.93181,                0.95161,                0.96234,                0.68247,                0.88066,                0.67837,                 1.3125,              0.0010892,              0.0010892,              0.0010892
                     48,                0.83737,                0.76558,                 1.3842,                0.80365,                0.85821,                0.89552,                0.57002,                0.93253,                0.88557,                 1.3316,              0.0010694,              0.0010694,              0.0010694
                     49,                0.85893,                0.81533,                 1.3837,                0.89414,                0.95363,                0.95076,                0.67248,                0.85068,                0.76038,                 1.2985,              0.0010496,              0.0010496,              0.0010496
                     50,                0.81677,                0.76541,                 1.3292,                0.90879,                0.93548,                0.96599,                0.71275,                0.72692,                0.63424,                 1.1972,              0.0010298,              0.0010298,              0.0010298
                     51,                0.87137,                0.80526,                 1.3998,                0.93189,                0.95161,                 0.9659,                0.72436,                0.70394,                 0.6431,                 1.1942,                0.00101,                0.00101,                0.00101
                     52,                0.82099,                0.80303,                 1.3449,                0.85555,                0.96774,                0.94161,                0.68593,                0.70631,                 0.7085,                 1.1736,              0.0009902,              0.0009902,              0.0009902
                     53,                0.73001,                0.73371,                 1.2815,                0.91693,                0.91935,                0.94793,                0.70803,                0.80386,                0.72564,                 1.2557,              0.0009704,              0.0009704,              0.0009704
                     54,                0.76455,                0.71044,                 1.3278,                0.93332,                0.90302,                0.94406,                0.72873,                0.78858,                0.74743,                 1.2439,              0.0009506,              0.0009506,              0.0009506
                     55,                0.75237,                 0.7255,                 1.3097,                0.86538,                0.90323,                0.94287,                 0.6976,                0.74886,                0.67803,                 1.2462,              0.0009308,              0.0009308,              0.0009308
                     56,                0.73402,                0.66636,                 1.2995,                0.86228,                0.90893,                0.93831,                0.68738,                0.78844,                0.71281,                 1.2712,               0.000911,               0.000911,               0.000911
                     57,                0.79186,                0.71328,                 1.3321,                0.92101,                0.94035,                0.95876,                0.74646,                0.69541,                0.68863,                 1.1649,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.7358,                0.71249,                 1.2981,                0.93329,                0.85484,                0.93685,                0.68848,                0.75109,                0.66646,                  1.252,              0.0008714,              0.0008714,              0.0008714
                     59,                0.70709,                0.67342,                 1.2673,                0.92322,                0.98387,                0.98978,                0.74209,                0.73381,                0.72514,                 1.2348,              0.0008516,              0.0008516,              0.0008516
                     60,                0.72686,                0.72316,                 1.2801,                0.91566,                0.90323,                 0.9311,                0.73255,                0.74387,                0.67901,                 1.2298,              0.0008318,              0.0008318,              0.0008318
                     61,                0.70651,                0.69237,                 1.2811,                0.93636,                0.94934,                0.94723,                0.70905,                0.74458,                0.76609,                 1.2261,               0.000812,               0.000812,               0.000812
                     62,                0.71292,                0.70559,                 1.2593,                0.92648,                0.90323,                0.96157,                0.74787,                0.63649,                0.63698,                 1.0899,              0.0007922,              0.0007922,              0.0007922
                     63,                0.71917,                0.70482,                 1.2667,                 0.8805,                0.95073,                0.94744,                 0.7322,                0.73264,                0.66703,                 1.1798,              0.0007724,              0.0007724,              0.0007724
                     64,                0.74116,                0.67404,                 1.3013,                0.92043,                0.95161,                0.95739,                0.72288,                0.72095,                0.64256,                 1.2009,              0.0007526,              0.0007526,              0.0007526
                     65,                0.72371,                0.65913,                 1.2886,                0.85031,                0.91626,                0.92268,                0.69251,                0.74295,                0.68715,                 1.2399,              0.0007328,              0.0007328,              0.0007328
                     66,                0.69052,                0.62816,                 1.2721,                0.90309,                0.93548,                 0.9508,                0.72625,                0.72764,                0.63427,                 1.1884,               0.000713,               0.000713,               0.000713
                     67,                0.70262,                0.68094,                 1.2642,                0.93654,                0.96774,                0.96278,                0.74768,                 0.7147,                0.53661,                 1.1765,              0.0006932,              0.0006932,              0.0006932
                     68,                0.73012,                0.65646,                   1.28,                0.94062,                0.93548,                0.96544,                0.73496,                0.65337,                0.66131,                 1.1325,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.6735,                0.62876,                 1.2394,                  0.934,                0.91302,                0.96345,                0.69892,                0.81341,                0.75521,                 1.2449,              0.0006536,              0.0006536,              0.0006536
                     70,                0.70429,                0.63937,                 1.2615,                0.97182,                0.91935,                  0.978,                0.74261,                0.67661,                0.55881,                 1.1357,              0.0006338,              0.0006338,              0.0006338
                     71,                0.60748,                0.59229,                 1.2996,                0.95171,                0.95365,                 0.9731,                0.72091,                0.66688,                0.52239,                  1.142,               0.000614,               0.000614,               0.000614
                     72,                0.58571,                0.58702,                 1.2808,                 0.9321,                0.95161,                0.95391,                 0.7109,                0.71166,                0.59506,                 1.1967,              0.0005942,              0.0005942,              0.0005942
                     73,                0.53269,                0.51492,                 1.2299,                0.89717,                0.90323,                0.94595,                0.72119,                0.68513,                0.63652,                 1.1865,              0.0005744,              0.0005744,              0.0005744
                     74,                0.58209,                0.58904,                 1.2868,                0.96569,                0.93548,                0.97168,                0.75394,                0.79494,                0.55412,                 1.2207,              0.0005546,              0.0005546,              0.0005546
                     75,                0.60967,                0.59148,                 1.2752,                0.94893,                0.89911,                 0.9556,                0.72302,                0.88961,                0.66589,                 1.3264,              0.0005348,              0.0005348,              0.0005348
                     76,                0.54442,                0.49096,                 1.2366,                0.95064,                0.93188,                0.97514,                0.73751,                0.65701,                0.48314,                 1.1122,               0.000515,               0.000515,               0.000515
                     77,                0.51419,                 0.5091,                 1.2087,                0.90652,                0.95161,                0.95997,                0.72212,                0.74653,                0.54161,                 1.2293,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.5658,                 0.4786,                 1.2411,                0.95116,                0.95161,                0.97186,                0.73154,                 0.6763,                0.55219,                 1.1467,              0.0004754,              0.0004754,              0.0004754
                     79,                0.53972,                0.45255,                 1.2672,                0.93215,                0.90323,                0.95807,                0.74187,                0.64434,                0.53144,                 1.1338,              0.0004556,              0.0004556,              0.0004556
                     80,                0.50842,                0.47494,                 1.1892,                 0.8985,                0.91935,                0.94559,                0.74183,                0.67991,                0.53983,                 1.1406,              0.0004358,              0.0004358,              0.0004358
                     81,                0.50629,                0.43826,                 1.1827,                0.95874,                0.95161,                0.95811,                0.73555,                0.70538,                0.49656,                 1.1776,               0.000416,               0.000416,               0.000416
                     82,                0.50765,                 0.4216,                 1.2161,                0.95803,                0.93548,                0.94391,                0.74417,                0.66518,                  0.478,                 1.1262,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.5113,                0.41833,                   1.21,                0.93384,                0.91935,                0.95272,                0.72908,                 0.6754,                0.49703,                 1.1414,              0.0003764,              0.0003764,              0.0003764
                     84,                0.46827,                0.42857,                  1.181,                0.91903,                0.93548,                0.95712,                0.73105,                 0.6594,                0.48988,                 1.1395,              0.0003566,              0.0003566,              0.0003566
                     85,                0.46213,                0.42822,                  1.152,                0.98199,                0.87969,                0.97289,                0.72912,                0.69361,                0.48871,                 1.1577,              0.0003368,              0.0003368,              0.0003368
                     86,                0.45104,                0.38973,                 1.1644,                0.96578,                0.91935,                0.98559,                0.76513,                0.65299,                0.43942,                 1.1405,               0.000317,               0.000317,               0.000317
                     87,                0.41667,                0.39272,                 1.1102,                0.96685,                0.94083,                0.98443,                0.75308,                0.65457,                0.42965,                 1.1449,              0.0002972,              0.0002972,              0.0002972
