                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7244,                0.81754,                  1.345,                0.87717,                0.87898,                0.91373,                0.65601,                0.94813,                 1.0212,                 1.6087,              0.0006536,              0.0006536,              0.0006536
                     36,                0.73605,                0.79341,                 1.3517,                0.93502,                0.92308,                0.93999,                0.66898,                 1.1268,                0.88408,                 1.7086,               0.000614,               0.000614,               0.000614
                     37,                0.69997,                0.73714,                 1.3165,                0.92978,                0.90769,                0.90818,                 0.6181,                 1.1252,                 1.1522,                 1.6916,              0.0005744,              0.0005744,              0.0005744
                     38,                0.68137,                0.73691,                 1.2861,                0.88586,                0.86154,                0.89188,                0.58591,                0.98377,                 1.0457,                 1.5582,              0.0005348,              0.0005348,              0.0005348
                     39,                0.73555,                0.75553,                 1.3533,                0.86812,                0.92308,                0.91378,                0.62515,                0.92927,                 1.0394,                 1.5299,              0.0004952,              0.0004952,              0.0004952
                     40,                0.67073,                0.78685,                 1.3082,                 0.9142,                0.95385,                0.95126,                0.65664,                 1.0685,                0.96454,                 1.6033,              0.0004556,              0.0004556,              0.0004556
                     41,                0.62865,                0.83512,                 1.3759,                0.92043,                0.95385,                0.95021,                0.64863,                 1.1057,                0.89387,                 1.6682,               0.000416,               0.000416,               0.000416
                     42,                0.61488,                0.69568,                 1.3955,                0.93545,                0.89176,                0.92393,                0.66403,                 1.0478,                0.92307,                 1.6181,              0.0003764,              0.0003764,              0.0003764
                     43,                0.54493,                0.62758,                 1.2966,                0.91724,                0.90769,                0.93608,                0.67514,                0.98545,                0.94985,                 1.5917,              0.0003368,              0.0003368,              0.0003368
                     44,                0.53095,                0.56867,                 1.3416,                0.94898,                0.93846,                0.94414,                0.68089,                0.97323,                0.99873,                 1.5731,              0.0002972,              0.0002972,              0.0002972
                     45,                0.52167,                0.58056,                 1.2966,                0.89194,                0.92308,                0.93105,                0.67641,                 1.0741,                 1.0234,                 1.6467,              0.0002576,              0.0002576,              0.0002576
                     46,                0.55167,                0.59768,                 1.3542,                0.93748,                0.92275,                0.94351,                0.69476,                 1.1629,                 1.0602,                 1.7035,               0.000218,               0.000218,               0.000218
                     47,                0.51216,                0.54623,                 1.2893,                0.95208,                0.91698,                0.93872,                0.67899,                 1.2455,                 1.1181,                 1.7867,              0.0001784,              0.0001784,              0.0001784
                     48,                0.49165,                0.54064,                 1.2633,                0.94921,                0.92308,                0.94264,                0.69135,                 1.2204,                 1.0296,                 1.7423,              0.0001388,              0.0001388,              0.0001388
                     49,                0.49689,                0.52143,                 1.2572,                0.95192,                0.91381,                0.94399,                0.68651,                 1.2463,                0.95337,                 1.7965,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.49407,                0.55738,                 1.2691,                0.96376,                0.89231,                0.94221,                0.69092,                 1.1994,                 1.0278,                 1.7168,               5.96e-05,               5.96e-05,               5.96e-05
