                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87999,                 0.8173,                  1.446,                0.96041,                0.87692,                0.93642,                0.71008,                 0.8951,                0.76644,                 1.5592,              0.0006536,              0.0006536,              0.0006536
                     36,                0.87544,                0.85368,                 1.4822,                0.95673,                0.86154,                0.94024,                0.72027,                0.82729,                0.70567,                  1.523,               0.000614,               0.000614,               0.000614
                     37,                0.88289,                0.83466,                 1.4574,                0.92188,                0.90782,                 0.9472,                0.68468,                0.93515,                0.74812,                 1.5884,              0.0005744,              0.0005744,              0.0005744
                     38,                0.84357,                0.82675,                 1.4385,                 0.9828,                0.87692,                0.95101,                 0.7297,                0.83829,                0.67519,                 1.4995,              0.0005348,              0.0005348,              0.0005348
                     39,                0.81103,                0.79333,                 1.4311,                0.92507,                0.95385,                0.96351,                 0.7306,                0.83107,                0.71112,                 1.4858,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.8261,                0.82612,                 1.4463,                0.91905,                0.89231,                0.91854,                0.69623,                0.93058,                0.78227,                 1.5834,              0.0004556,              0.0004556,              0.0004556
                     41,                0.78247,                0.95609,                  1.553,                0.92075,                0.95385,                 0.9477,                0.71118,                0.82091,                0.61222,                 1.5149,               0.000416,               0.000416,               0.000416
                     42,                0.70959,                 0.6848,                 1.4967,                 0.9372,                0.95385,                0.95045,                0.73488,                0.76435,                0.60519,                 1.4526,              0.0003764,              0.0003764,              0.0003764
                     43,                0.66405,                0.66066,                 1.4741,                0.95013,                0.90769,                0.94285,                0.74934,                0.74754,                 0.6984,                 1.4611,              0.0003368,              0.0003368,              0.0003368
                     44,                0.65072,                0.60599,                 1.4686,                0.95276,                0.93094,                0.95723,                0.72519,                0.78266,                0.72315,                 1.4999,              0.0002972,              0.0002972,              0.0002972
                     45,                0.64263,                0.60844,                 1.4066,                0.91803,                0.90769,                0.94001,                0.72919,                0.79952,                0.71211,                 1.4951,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.6534,                0.62242,                 1.4869,                0.94974,                0.87228,                0.94132,                0.73246,                0.74917,                0.68684,                 1.4637,               0.000218,               0.000218,               0.000218
                     47,                0.58867,                0.58052,                 1.3754,                0.90753,                0.90593,                0.93107,                0.72776,                0.76331,                0.68743,                 1.4806,              0.0001784,              0.0001784,              0.0001784
                     48,                0.62052,                0.59034,                 1.4335,                0.92568,                0.89231,                0.92942,                 0.7433,                0.75797,                0.68937,                 1.4809,              0.0001388,              0.0001388,              0.0001388
                     49,                0.60829,                0.55996,                 1.4321,                0.90474,                0.89231,                0.93789,                0.74009,                0.76649,                0.70155,                 1.4881,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.55753,                0.53317,                 1.3513,                0.89016,                0.89231,                0.93754,                0.74544,                0.75725,                0.71046,                 1.4665,               5.96e-05,               5.96e-05,               5.96e-05
