                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8346,                 7.5127,                 3.1117,                0.00318,                0.96923,                0.28805,                0.14811,                  2.739,                 17.219,                   4.46,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.2746,                 6.6719,                 3.3504,                0.00263,                    0.8,                0.03659,                0.00694,                 5.1461,                  20.81,                 6.8026,              0.0012877,              0.0012877,              0.0012877
                      3,                  2.345,                 5.9728,                 3.4014,                0.34469,                0.29231,                0.24118,                0.10729,                 3.4736,                 17.206,                 5.7112,               0.001902,               0.001902,               0.001902
                      4,                  2.245,                  5.609,                   3.37,                0.14383,                0.26154,                0.13739,                0.05085,                 4.2584,                 17.452,                 6.5432,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.3486,                 5.4453,                 3.4412,                0.21671,                0.29231,                0.14685,                 0.0544,                 4.8606,                 13.182,                 6.4583,              0.0018416,              0.0018416,              0.0018416
                      6,                  2.287,                 4.9228,                 3.4035,                0.52519,                0.30769,                0.30148,                0.09396,                 4.9833,                 9.6299,                 6.4391,               0.001802,               0.001802,               0.001802
                      7,                  2.197,                 4.5842,                 3.2906,                0.40739,                    0.4,                0.35524,                0.14968,                   3.53,                 7.1988,                 4.9331,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.2219,                  4.257,                 3.2873,                0.42426,                0.61538,                 0.4761,                0.23716,                 3.1618,                 5.9307,                 4.8352,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.0988,                 3.7607,                 3.1832,                0.59768,                0.52308,                0.56164,                0.24256,                 3.3725,                 5.7499,                 5.1269,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.1516,                 3.9024,                 3.2589,                0.54344,                0.58462,                 0.5511,                0.23823,                 3.3834,                  5.405,                 5.1418,              0.0016436,              0.0016436,              0.0016436
                     11,                  1.996,                 3.4418,                 3.0649,                0.55169,                0.55385,                0.53941,                0.25512,                 3.4686,                 5.5685,                 4.8489,               0.001604,               0.001604,               0.001604
                     12,                 2.2138,                 3.5378,                 3.3393,                0.63615,                    0.6,                0.61091,                0.37079,                 3.5482,                 5.0282,                 4.8147,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0804,                 3.3261,                 3.1264,                0.59537,                0.67912,                0.65725,                0.26098,                 3.4634,                 4.3231,                 4.8957,              0.0015248,              0.0015248,              0.0015248
