                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77757,                0.81366,                 1.3981,                0.95442,                    0.8,                0.90659,                0.69365,                0.95704,                0.87478,                 1.5718,              0.0006536,              0.0006536,              0.0006536
                     36,                0.78993,                0.82621,                 1.4092,                0.92192,                0.81538,                0.88245,                0.66313,                 0.9709,                0.81832,                 1.4838,               0.000614,               0.000614,               0.000614
                     37,                0.78452,                0.82005,                 1.3928,                0.90948,                    0.8,                0.90028,                0.68042,                 1.0425,                0.99347,                 1.5849,              0.0005744,              0.0005744,              0.0005744
                     38,                0.73753,                0.78354,                 1.3606,                 0.8929,                0.93846,                0.93724,                0.71358,                0.97539,                 0.7985,                  1.543,              0.0005348,              0.0005348,              0.0005348
                     39,                0.73963,                0.78163,                 1.3753,                0.93079,                 0.8277,                0.92552,                0.70149,                0.88697,                0.76406,                 1.4607,              0.0004952,              0.0004952,              0.0004952
                     40,                0.76247,                0.80188,                 1.4093,                0.87635,                0.87233,                0.92398,                0.72565,                0.84446,                0.74113,                 1.4127,              0.0004556,              0.0004556,              0.0004556
                     41,                0.69748,                 0.8678,                 1.4883,                0.91591,                0.87692,                0.91426,                0.70714,                0.89546,                0.76311,                 1.4932,               0.000416,               0.000416,               0.000416
                     42,                0.63375,                0.70901,                 1.4116,                0.88059,                0.90766,                0.93641,                0.69804,                0.93258,                0.78295,                  1.534,              0.0003764,              0.0003764,              0.0003764
                     43,                0.60445,                0.62373,                 1.3933,                0.94568,                0.84615,                0.93324,                0.69567,                0.96573,                0.82471,                 1.5757,              0.0003368,              0.0003368,              0.0003368
                     44,                0.55243,                0.61351,                 1.3647,                0.88961,                0.90769,                0.93418,                0.70715,                0.94916,                0.82258,                 1.5398,              0.0002972,              0.0002972,              0.0002972
                     45,                0.58958,                0.57831,                 1.3679,                0.94806,                0.87692,                0.94048,                0.71616,                0.90314,                0.83697,                 1.4876,              0.0002576,              0.0002576,              0.0002576
                     46,                0.55311,                0.58217,                 1.3654,                0.96058,                0.84615,                0.92251,                 0.7367,                0.83184,                0.79049,                 1.3988,               0.000218,               0.000218,               0.000218
                     47,                0.52507,                0.53525,                  1.322,                0.94995,                 0.8761,                0.92378,                0.74618,                0.82319,                0.80495,                  1.381,              0.0001784,              0.0001784,              0.0001784
                     48,                0.53229,                0.54121,                 1.3241,                0.90695,                0.86154,                0.91776,                0.72277,                0.81486,                0.83728,                 1.3624,              0.0001388,              0.0001388,              0.0001388
                     49,                0.54003,                0.55224,                 1.3301,                0.91268,                0.90769,                0.92989,                 0.7301,                0.79435,                0.80132,                  1.345,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.50249,                0.53428,                 1.2871,                0.90874,                 0.9192,                0.94708,                0.74735,                0.78106,                0.78132,                 1.3341,               5.96e-05,               5.96e-05,               5.96e-05
