                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.43807,                0.37728,                0.58934,                 1.0025,                 0.9907,                      1,                  0.995,                0.96303,                 0.9907,                      1,                  0.995,                  0.995,                0.33572,                0.18228,                 0.6046,                0.79478,              0.0010892,              0.0010892,              0.0010892
                     26,                0.44884,                0.35872,                0.55534,                0.98584,                0.99065,                      1,                  0.995,                0.96303,                0.99065,                      1,                  0.995,                  0.995,                0.31856,                0.18579,                0.46886,                0.74937,              0.0010496,              0.0010496,              0.0010496
                     27,                0.40925,                0.37957,                0.54516,                0.95936,                0.99097,                      1,                  0.995,                0.95005,                0.99097,                      1,                  0.995,                  0.995,                0.32644,                0.18702,                0.43913,                0.74666,                0.00101,                0.00101,                0.00101
                     28,                0.41595,                0.33986,                0.49554,                0.95533,                0.99094,                      1,                  0.995,                0.97104,                0.99094,                      1,                  0.995,                  0.995,                  0.333,                0.19377,                 0.4427,                0.76724,              0.0009704,              0.0009704,              0.0009704
                     29,                0.43408,                0.39851,                0.54873,                0.98392,                0.99069,                      1,                  0.995,                0.97104,                0.99069,                      1,                  0.995,                  0.995,                0.31659,                0.17191,                0.44689,                0.76038,              0.0009308,              0.0009308,              0.0009308
                     30,                0.40453,                0.33024,                0.49244,                0.97211,                0.99055,                      1,                  0.995,                0.97505,                0.99055,                      1,                  0.995,                  0.995,                0.30334,                0.16519,                0.46768,                 0.7588,              0.0008912,              0.0008912,              0.0008912
                     31,                0.44115,                0.30786,                0.50233,                0.99678,                0.99053,                      1,                  0.995,                  0.995,                0.99053,                      1,                  0.995,                  0.995,                0.33877,                0.18108,                0.46007,                0.79312,              0.0008516,              0.0008516,              0.0008516
                     32,                0.40574,                0.40514,                0.52078,                 0.9865,                0.99038,                      1,                  0.995,                  0.995,                0.99038,                      1,                  0.995,                  0.995,                0.30258,                0.20893,                0.44452,                0.76415,               0.000812,               0.000812,               0.000812
                     33,                0.38479,                0.31729,                0.47781,                0.95879,                0.98989,                      1,                  0.995,                  0.995,                0.98989,                      1,                  0.995,                  0.995,                0.21275,                0.19204,                0.35927,                0.69148,              0.0007724,              0.0007724,              0.0007724
                     34,                0.40846,                0.30986,                0.50076,                 0.9578,                0.99061,                      1,                  0.995,                  0.995,                0.99061,                      1,                  0.995,                  0.995,                0.22122,                0.16514,                0.42992,                 0.6897,              0.0007328,              0.0007328,              0.0007328
                     35,                0.38383,                0.35362,                0.45569,                0.94613,                0.99093,                      1,                  0.995,                0.97505,                0.99093,                      1,                  0.995,                  0.995,                0.26506,                0.16385,                0.45345,                0.71131,              0.0006932,              0.0006932,              0.0006932
                     36,                0.36957,                 0.3333,                0.44627,                0.93997,                0.99074,                      1,                  0.995,                  0.995,                0.99074,                      1,                  0.995,                  0.995,                0.24755,                 0.1769,                 0.4384,                0.71231,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.3594,                0.28723,                0.43839,                0.94806,                 0.9911,                      1,                  0.995,                  0.995,                 0.9911,                      1,                  0.995,                  0.995,                0.24882,                0.18709,                0.40005,                0.71171,               0.000614,               0.000614,               0.000614
                     38,                0.35344,                0.29816,                0.43267,                0.95265,                0.99114,                      1,                  0.995,                  0.995,                0.99114,                      1,                  0.995,                  0.995,                0.24933,                0.17222,                0.36408,                0.70352,              0.0005744,              0.0005744,              0.0005744
                     39,                0.39603,                0.31974,                0.45855,                0.94522,                0.99108,                      1,                  0.995,                0.95915,                0.99108,                      1,                  0.995,                  0.995,                0.28546,                0.15389,                0.36227,                0.71712,              0.0005348,              0.0005348,              0.0005348
                     40,                0.36503,                0.30333,                0.41451,                0.94526,                0.99098,                      1,                  0.995,                  0.995,                0.99098,                      1,                  0.995,                  0.995,                0.25147,                0.14818,                0.35243,                0.71757,              0.0004952,              0.0004952,              0.0004952
                     41,                0.31845,                0.22477,                0.77594,                 1.0028,                0.99013,                      1,                  0.995,                0.95915,                0.99013,                      1,                  0.995,                0.95915,                0.23798,                0.15282,                0.43505,                0.72361,              0.0004556,              0.0004556,              0.0004556
                     42,                0.28037,                0.22948,                0.58934,                0.93631,                 0.9898,                      1,                  0.995,                0.97105,                 0.9898,                      1,                  0.995,                  0.995,                0.26913,                0.16267,                0.45281,                0.70885,               0.000416,               0.000416,               0.000416
                     43,                0.27205,                0.20588,                0.56968,                0.93675,                0.99023,                      1,                  0.995,                  0.995,                0.99023,                      1,                  0.995,                  0.995,                0.25998,                0.16793,                 0.4184,                0.71076,              0.0003764,              0.0003764,              0.0003764
                     44,                0.29092,                0.21069,                0.53606,                0.96034,                0.99073,                      1,                  0.995,                0.96705,                0.99073,                      1,                  0.995,                  0.995,                0.27544,                0.17919,                0.37178,                0.73196,              0.0003368,              0.0003368,              0.0003368
                     45,                0.27862,                0.20865,                0.53807,                0.95226,                0.99056,                      1,                  0.995,                0.96305,                0.99056,                      1,                  0.995,                  0.995,                0.27781,                0.18799,                0.39311,                0.74177,              0.0002972,              0.0002972,              0.0002972
                     46,                0.28269,                0.19885,                0.50574,                0.96503,                0.99102,                      1,                  0.995,                  0.995,                0.99102,                      1,                  0.995,                  0.995,                0.25944,                0.18713,                0.38711,                0.72514,              0.0002576,              0.0002576,              0.0002576
                     47,                0.28396,                 0.2101,                0.48525,                0.94214,                0.99106,                      1,                  0.995,                  0.995,                0.99106,                      1,                  0.995,                  0.995,                0.24874,                0.17804,                0.37035,                0.71965,               0.000218,               0.000218,               0.000218
                     48,                0.26508,                 0.1923,                0.47661,                0.94562,                0.99111,                      1,                  0.995,                  0.995,                0.99111,                      1,                  0.995,                  0.995,                0.20822,                0.16911,                0.31535,                0.69049,              0.0001784,              0.0001784,              0.0001784
                     49,                0.28165,                 0.2098,                0.47704,                0.93319,                0.99116,                      1,                  0.995,                  0.995,                0.99116,                      1,                  0.995,                  0.995,                0.18228,                0.16506,                0.29428,                0.66381,              0.0001388,              0.0001388,              0.0001388
                     50,                0.29209,                0.27142,                 0.5324,                0.95885,                0.99116,                      1,                  0.995,                  0.995,                0.99116,                      1,                  0.995,                  0.995,                0.17699,                0.16291,                0.27934,                0.65424,               9.92e-05,               9.92e-05,               9.92e-05
