                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.84789,                 1.7448,                0.79845,                 1.2687,                0.88941,                0.87422,                0.94794,                0.55756,                0.78491,                0.71739,                0.66991,                0.32077,                 1.3564,                 2.1308,                  1.053,                 2.0343,              0.0015446,              0.0015446,              0.0015446
                     25,                0.86106,                  1.737,                0.78941,                 1.2756,                0.81444,                0.85883,                0.87098,                0.51068,                0.75823,                0.69565,                0.68178,                0.39868,                 1.3509,                 2.0431,                 1.1894,                 2.0351,              0.0015248,              0.0015248,              0.0015248
                     26,                0.84332,                 1.6842,                0.78417,                 1.2598,                0.85031,                0.93478,                0.94495,                0.57706,                0.90468,                0.78261,                0.83857,                0.44367,                 1.3442,                  2.185,                 1.0344,                 2.1407,               0.001505,               0.001505,               0.001505
                     27,                0.84551,                 1.6914,                0.79417,                 1.2589,                0.83825,                0.78871,                0.90434,                0.57246,                0.86646,                 0.6087,                0.68756,                0.39086,                 1.2369,                 2.4617,                 1.0849,                 1.8109,              0.0014852,              0.0014852,              0.0014852
                     28,                0.83774,                 1.6242,                0.78081,                 1.2475,                0.79751,                0.85629,                0.89233,                 0.5187,                0.57091,                0.67391,                0.66277,                0.37569,                 1.3276,                 2.5823,                  1.149,                 2.0175,              0.0014654,              0.0014654,              0.0014654
                     29,                0.84276,                 1.6271,                0.77347,                 1.2663,                0.73799,                0.91852,                 0.9017,                0.57774,                0.79655,                0.65217,                0.71234,                0.39675,                 1.1952,                 2.2414,                 1.0288,                 1.9452,              0.0014456,              0.0014456,              0.0014456
                     30,                0.81464,                 1.6711,                0.75593,                 1.2467,                0.82847,                0.84011,                0.90791,                0.59227,                 0.8346,                0.65829,                0.67827,                0.32382,                 1.3448,                 3.4322,                 1.0398,                 2.1809,              0.0014258,              0.0014258,              0.0014258
                     31,                0.81737,                 1.6359,                0.73706,                 1.2588,                0.92502,                0.80435,                0.91172,                0.54747,                 0.8559,                0.73913,                0.78207,                0.44386,                 1.3194,                 2.1028,                 1.0431,                 2.0465,               0.001406,               0.001406,               0.001406
                     32,                0.79315,                 1.6304,                0.73343,                 1.2412,                0.87197,                0.88842,                  0.913,                0.57368,                0.75191,                0.72488,                0.74211,                0.39314,                 1.2387,                 1.9838,                 1.0118,                 1.9258,              0.0013862,              0.0013862,              0.0013862
                     33,                0.78523,                 1.5711,                0.72316,                 1.2241,                0.86942,                0.95652,                0.95205,                0.59581,                0.84593,                0.76087,                0.79192,                0.43919,                 1.2239,                 2.4763,                0.94742,                 1.9127,              0.0013664,              0.0013664,              0.0013664
                     34,                 0.8307,                 1.5706,                0.72951,                 1.2397,                0.92096,                0.97826,                0.96801,                0.64969,                      1,                0.75688,                0.83569,                0.46737,                 1.1992,                 2.7971,                0.82054,                  1.844,              0.0013466,              0.0013466,              0.0013466
                     35,                0.77968,                 1.4908,                0.70115,                 1.2084,                0.87475,                0.91097,                0.95154,                0.58452,                0.84953,                0.73913,                0.74175,                0.46354,                 1.3933,                  2.434,                0.90434,                 2.0565,              0.0013268,              0.0013268,              0.0013268
                     36,                 0.7775,                  1.444,                0.69015,                 1.2111,                0.81869,                0.91304,                0.86787,                0.47413,                0.79127,                0.76087,                0.73726,                0.31085,                 1.5014,                 2.9672,                 1.1645,                 2.4141,               0.001307,               0.001307,               0.001307
                     37,                0.74747,                 1.4469,                0.68385,                 1.2141,                0.83885,                 0.8913,                0.90968,                0.57812,                0.84513,                0.71192,                0.73897,                0.43108,                 1.2879,                 2.0145,                 1.0579,                 1.9472,              0.0012872,              0.0012872,              0.0012872
                     38,                0.75156,                 1.4063,                0.65325,                 1.1973,                0.91262,                0.90832,                0.93687,                0.59349,                0.85643,                0.69565,                0.75599,                0.38521,                 1.2733,                 3.0558,                 0.8661,                 1.9961,              0.0012674,              0.0012674,              0.0012674
                     39,                0.74718,                  1.404,                0.66308,                 1.2022,                0.90865,                0.86502,                0.90419,                0.57188,                0.83701,                0.73913,                0.69552,                 0.3759,                 1.3004,                 2.5175,                0.81236,                 2.1391,              0.0012476,              0.0012476,              0.0012476
                     40,                0.76067,                 1.4604,                0.64985,                 1.2075,                0.91576,                0.82609,                0.92773,                0.54411,                0.77676,                0.65217,                0.69701,                0.38736,                 1.3658,                 2.4158,                0.84403,                 2.0794,              0.0012278,              0.0012278,              0.0012278
                     41,                0.73428,                 1.4693,                0.66433,                  1.191,                0.85629,                0.86957,                0.93468,                0.57667,                0.84782,                0.67391,                0.71977,                 0.4399,                 1.2262,                 2.2977,                0.91582,                 1.8694,               0.001208,               0.001208,               0.001208
                     42,                0.71657,                 1.2932,                0.61706,                 1.1752,                0.90952,                0.87414,                0.93654,                0.62002,                0.77918,                0.82609,                0.79842,                0.44102,                  1.086,                 2.2485,                0.82047,                 1.7597,              0.0011882,              0.0011882,              0.0011882
                     43,                0.73832,                  1.338,                0.63493,                 1.1861,                0.94858,                0.86957,                0.96019,                0.61527,                0.80001,                 0.6957,                0.74763,                0.48851,                 1.2186,                  2.393,                0.83857,                 1.9633,              0.0011684,              0.0011684,              0.0011684
                     44,                0.74951,                 1.4055,                0.65548,                 1.1996,                0.88324,                0.91304,                0.94958,                0.60729,                0.89666,                0.69565,                0.73142,                0.48552,                 1.1439,                 2.4896,                0.81938,                 1.8836,              0.0011486,              0.0011486,              0.0011486
                     45,                0.73317,                 1.3383,                0.61862,                 1.1749,                0.87742,                0.77813,                0.87682,                0.59484,                0.81072,                0.69565,                0.71006,                0.45049,                 1.1682,                 2.7573,                0.97242,                  1.769,              0.0011288,              0.0011288,              0.0011288
                     46,                0.73343,                 1.2833,                0.61909,                 1.1838,                0.82852,                0.91304,                0.93699,                0.62571,                0.88812,                0.69039,                0.76944,                0.50037,                 1.2317,                 3.0161,                0.85034,                 1.9353,               0.001109,               0.001109,               0.001109
                     47,                0.71335,                 1.2875,                0.61284,                 1.1753,                0.94888,                 0.8913,                0.96021,                0.64119,                0.81797,                0.78154,                0.77689,                0.51889,                 1.1484,                 2.9692,                 0.7908,                  1.886,              0.0010892,              0.0010892,              0.0010892
