                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80338,                0.78547,                 1.3935,                0.88655,                 0.9194,                0.96495,                0.66035,                  1.049,                0.76002,                 1.7834,              0.0006536,              0.0006536,              0.0006536
                     36,                0.79437,                 0.7593,                 1.3991,                0.93514,                0.87059,                0.94997,                0.67667,                 1.0373,                0.73283,                 1.7395,               0.000614,               0.000614,               0.000614
                     37,                0.78756,                0.77715,                 1.3921,                0.86413,                0.85882,                0.93253,                0.64983,                 1.0761,                0.79937,                 1.8314,              0.0005744,              0.0005744,              0.0005744
                     38,                0.77656,                0.75416,                 1.3727,                0.89413,                0.89428,                0.94441,                0.65014,                 1.0307,                0.75005,                 1.7734,              0.0005348,              0.0005348,              0.0005348
                     39,                0.76788,                0.76942,                  1.365,                 0.8974,                0.81176,                0.91716,                0.66576,                 1.0455,                0.76482,                 1.8257,              0.0004952,              0.0004952,              0.0004952
                     40,                0.77251,                0.74307,                 1.3758,                0.88964,                0.92941,                0.94818,                0.65568,                 1.0806,                0.71162,                 1.8094,              0.0004556,              0.0004556,              0.0004556
                     41,                0.69573,                0.71323,                 1.4992,                0.90682,                0.90588,                 0.9576,                0.66345,                 1.0603,                 0.7035,                 1.7796,               0.000416,               0.000416,               0.000416
                     42,                  0.672,                0.65688,                 1.4874,                0.87257,                0.88619,                0.95386,                0.66336,                 1.0639,                0.78856,                 1.7514,              0.0003764,              0.0003764,              0.0003764
                     43,                0.64373,                0.60487,                 1.4543,                0.91002,                0.91765,                0.97155,                0.70079,                 1.0055,                0.70415,                 1.7133,              0.0003368,              0.0003368,              0.0003368
                     44,                0.61284,                0.57515,                 1.3967,                0.89626,                0.95294,                0.97994,                0.68354,                  1.034,                 0.7157,                 1.7418,              0.0002972,              0.0002972,              0.0002972
                     45,                0.59827,                0.55483,                 1.3759,                0.84862,                0.88235,                 0.9284,                0.67611,                 1.0438,                0.71937,                 1.7329,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.5901,                0.55735,                 1.4079,                0.89522,                0.92941,                0.96611,                0.70333,                0.96477,                0.68419,                 1.6612,               0.000218,               0.000218,               0.000218
                     47,                 0.5803,                 0.5528,                 1.3494,                0.90788,                0.92941,                0.96044,                0.69539,                0.97603,                0.68709,                 1.6611,              0.0001784,              0.0001784,              0.0001784
                     48,                0.54521,                0.49696,                 1.3371,                0.87171,                0.89412,                0.92779,                0.67475,                0.98827,                0.73075,                 1.6968,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.5552,                 0.5104,                 1.3512,                0.90621,                 0.9094,                0.94838,                0.69413,                0.98876,                0.69876,                 1.7005,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53443,                0.49584,                 1.3177,                 0.9183,                0.92565,                0.95723,                0.68862,                0.99169,                0.67792,                 1.6847,               5.96e-05,               5.96e-05,               5.96e-05
